"GISJOIN","YEAR","STUSAB","REGIONA","DIVISIONA","STATE","STATEA","COUNTY","COUNTYA","COUSUBA","PLACEA","TRACTA","CONCITA","AIANHHA","RES_ONLYA","TRUSTA","AIHHTLI","AITSCEA","ANRCA","CBSAA","CSAA","METDIVA","NECTAA","CNECTAA","NECTADIVA","UAA","CDCURRA","SLDUA","SLDLA","SUBMCDA","SDELMA","SDSECA","SDUNIA","PCI","PUMAA","GEOID","NAME","BTTRA","J2VE001","J2VE002","J2VE003","J2VE004","J2VE005","J2VE006","J2VE007","J2VE008","J2VE009","J2VE010","J2VE011","J2VE012","J2VE013","J2VE014","J2VE015","J2VE016","J2VE017","J2VE018","J2VE019","J2VE020","J2VE021","J2VE022","J2VE023","J2VE024","J2VE025","J2VE026","J2VE027","J2VE028","J2VE029","J2VE030","J2VE031","J2VE032","J2VE033","J2VE034","J2VE035","J2VE036","J2VE037","J2VE038","J2VE039","J2VE040","J2VE041","J2VE042","J2VE043","J2VE044","J2VE045","J2VE046","J2VE047","J2VE048","J2VE049","J2VE050","J2VE051","J2VE052","J2VE053","J2VE054","J2VE055","J2VE056","J2VE057","J2VE058","J2VE059","J4TE001","J6QE001","J6QE002","J6QE003","J6QE004","J6QE005","J6QE006","J6QE007","J6QE008","J6QE009","J6QE010","J6QE011","J6QE012","J6QE013","J6QE014","J6QE015","J6QE016","J6QE017","J6QE018","J6QE019","J6QE020","J6QE021","J6QE022","J6QE023","J6QE024","J6QE025","J6QE026","J6QE027","J6QE028","J6QE029","J6QE030","J6QE031","J6QE032","J6QE033","J6QE034","J6QE035","J6QE036","J6QE037","J6QE038","J6QE039","J6QE040","J6QE041","J6QE042","J6QE043","J6QE044","J6QE045","J6QE046","J6QE047","J6QE048","J6QE049","J6QE050","J6QE051","J6QE052","J6QE053","J6QE054","J6QE055","J6QE056","J6QE057","J6QE058","J6QE059","J6QE060","J6QE061","J6QE062","J6QE063","J6QE064","J6QE065","J6QE066","J6QE067","J6QE068","J6QE069","J6QE070","J6QE071","J6QE072","J6QE073","J6QE074","J6QE075","J6QE076","J6QE077","J6QE078","J6QE079","J6QE080","J6QE081","J6QE082","J6QE083","J6QE084","J6QE085","J6QE086","J6QE087","J6QE088","J6QE089","J6QE090","J6QE091","J6QE092","J6QE093","J6QE094","J6QE095","J6QE096","J6QE097","J6QE098","J6QE099","J6QE100","J6QE101","J6QE102","J6QE103","J6QE104","J6QE105","J6QE106","J6QE107","J6QE108","J6QE109","J6QE110","J6QE111","J6QE112","J6QE113","J6QE114","J6QE115","J6QE116","J6QE117","J6QE118","J6QE119","J6QE120","J6QE121","J6QE122","J6QE123","J6QE124","J6QE125","J6QE126","J6QE127","J6QE128","J6QE129","J6QE130","J6QE131","J6QE132","J6QE133","J6QE134","J6QE135","J6QE136","J6QE137","J6QE138","J6QE139","J6QE140","J6QE141","J6QE142","J6QE143","J6QE144","J6QE145","J6QE146","J6QE147","J6QE148","J6QE149","J6QE150","J6QE151","J6QE152","J6QE153","J6QE154","J6QE155","J6QE156","J6QE157","J6QE158","J6QE159","J6QE160","J6QE161","J6QE162","J6QE163","J6QE164","J6QE165","J6QE166","J6QE167","J6QE168","J6QE169","J6QE170","J6QE171","J6QE172","J6QE173","FIPS"
"G5100010","2006-2010","VA","","","Virginia","51","Accomack County","001","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51001","Accomack County, Virginia","","33648","5258","1972","238","19","210","95","47","93","73","240","119","266","339","101","132","3286","302","40","308","31","11","83","289","416","224","423","361","283","515","28390","14453","808","159","1135","612","233","342","1133","1428","1825","2342","1917","1563","956","13937","623","119","996","333","185","357","876","1415","1815","2463","2248","1469","1038","0.4710","27535","13135","796","210","0","210","208","2","586","405","335","0","335","294","41","70","512","434","9","425","410","15","78","948","823","0","823","686","137","125","801","666","0","666","528","138","135","1987","1813","0","1813","1644","169","174","2648","2354","25","2329","2175","154","294","1233","833","0","833","811","22","400","486","261","0","261","229","32","225","544","223","0","223","188","35","321","985","279","272","7","706","687","123","123","0","564","1103","175","151","24","928","14400","837","360","0","360","270","90","477","374","308","0","308","294","14","66","394","295","0","295","262","33","99","947","574","0","574","474","100","373","884","629","0","629","539","90","255","2039","1610","0","1610","1570","40","429","2886","2182","3","2179","1854","325","704","1456","1014","0","1014","999","15","442","468","344","0","344","326","18","124","692","228","0","228","228","0","464","1001","267","258","9","734","758","118","118","0","640","1664","65","61","4","1599","51001"
"G5100030","2006-2010","VA","","","Virginia","51","Albemarle County","003","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51003","Albemarle County, Virginia","","91906","7484","3052","243","95","287","139","58","104","574","420","351","233","283","67","198","4432","287","11","260","139","0","95","1154","866","427","316","264","202","411","84422","41150","2538","278","3608","1679","484","1237","3691","5143","5746","6438","5040","2939","2329","43272","2385","456","3336","1744","671","921","2663","5282","6054","7263","5692","3371","3434","0.4800","77789","36877","3835","1190","0","1190","948","242","2645","1590","1040","0","1040","837","203","550","2048","1737","0","1737","1643","94","311","3021","2552","31","2521","2426","95","469","2588","2383","18","2365","2334","31","205","6130","5549","44","5505","5351","154","581","6698","5883","0","5883","5684","199","815","3034","2584","0","2584","2555","29","450","951","734","0","734","696","38","217","1364","842","0","842","833","9","522","1669","801","791","10","868","1353","286","286","0","1067","2596","292","279","13","2304","40912","3852","1237","0","1237","1002","235","2615","1262","824","0","824","681","143","438","1976","1376","13","1363","1276","87","600","3486","2827","26","2801","2694","107","659","2662","2169","0","2169","2119","50","493","6481","4755","22","4733","4572","161","1726","7595","6301","0","6301","6140","161","1294","3483","2306","0","2306","2280","26","1177","1153","651","0","651","628","23","502","1343","659","0","659","649","10","684","2141","732","732","0","1409","1474","192","192","0","1282","4004","282","282","0","3722","51003"
"G5100050","2006-2010","VA","","","Virginia","51","Alleghany County","005","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51005","Alleghany County, Virginia","","15978","1737","768","39","34","121","0","0","0","111","70","42","159","79","62","51","969","108","19","126","0","17","30","69","91","102","175","113","45","74","14241","7068","392","60","469","285","63","236","525","578","1034","1023","1152","753","498","7173","227","33","440","343","105","158","405","638","1044","1107","1132","889","652","0.3950","13363","6486","548","181","0","181","154","27","367","147","147","0","147","110","37","0","254","221","0","221","208","13","33","307","263","0","263","236","27","44","352","341","0","341","323","18","11","1076","1032","5","1027","962","65","44","1182","971","0","971","933","38","211","727","501","0","501","464","37","226","180","87","0","87","83","4","93","332","178","0","178","178","0","154","411","110","94","16","301","412","38","38","0","374","558","30","28","2","528","6877","271","191","0","191","137","54","80","174","125","0","125","118","7","49","228","138","0","138","138","0","90","327","258","0","258","258","0","69","402","357","0","357","344","13","45","1146","900","0","900","834","66","246","1282","975","0","975","915","60","307","645","409","0","409","409","0","236","236","73","0","73","73","0","163","364","100","0","100","100","0","264","586","155","155","0","431","348","28","28","0","320","868","11","11","0","857","51005"
"G5100070","2006-2010","VA","","","Virginia","51","Amelia County","007","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51007","Amelia County, Virginia","","12424","1246","695","43","69","0","62","0","0","45","141","58","108","86","53","30","551","0","0","55","16","18","0","30","130","5","81","123","61","32","11178","5435","357","0","475","248","112","95","478","485","876","831","652","556","270","5743","337","107","405","129","99","230","474","483","825","1001","735","525","393","0.4040","9969","4787","284","121","0","121","121","0","163","102","87","0","87","57","30","15","232","232","11","221","201","20","0","329","285","0","285","270","15","44","297","286","0","286","286","0","11","934","877","0","877","791","86","57","947","805","0","805","736","69","142","324","258","0","258","258","0","66","216","161","0","161","121","40","55","198","130","0","130","130","0","68","420","108","108","0","312","189","26","26","0","163","315","15","15","0","300","5182","343","171","0","171","141","30","172","106","94","0","94","76","18","12","285","188","0","188","180","8","97","259","190","0","190","119","71","69","354","217","0","217","215","2","137","830","529","0","529","524","5","301","1082","793","0","793","783","10","289","433","216","0","216","194","22","217","121","40","0","40","40","0","81","312","167","0","167","167","0","145","276","66","66","0","210","318","45","45","0","273","463","0","0","0","463","51007"
"G5100090","2006-2010","VA","","","Virginia","51","Amherst County","009","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51009","Amherst County, Virginia","","30464","4004","1718","166","0","135","44","0","125","272","63","238","222","158","169","126","2286","125","0","163","82","23","90","343","228","261","262","280","130","299","26460","13088","663","150","919","682","182","371","1004","1431","1739","2137","1878","1214","718","13372","693","169","832","576","123","444","569","1300","1925","2327","1859","1444","1111","0.3970","26416","12281","1015","506","0","506","435","71","509","410","256","0","256","210","46","154","596","445","0","445","387","58","151","812","746","4","742","731","11","66","754","713","10","703","691","12","41","2027","1833","0","1833","1764","69","194","2394","2023","9","2014","1888","126","371","955","767","0","767","706","61","188","471","312","0","312","296","16","159","620","306","0","306","306","0","314","826","153","153","0","673","557","95","95","0","462","844","71","64","7","773","14135","1220","477","0","477","360","117","743","768","466","0","466","440","26","302","482","396","0","396","363","33","86","750","582","0","582","538","44","168","812","690","0","690","680","10","122","2202","1810","0","1810","1695","115","392","2621","1988","0","1988","1917","71","633","1114","675","0","675","643","32","439","501","258","0","258","252","6","243","601","237","0","237","237","0","364","977","276","276","0","701","645","96","96","0","549","1442","48","48","0","1394","51009"
"G5100110","2006-2010","VA","","","Virginia","51","Appomattox County","011","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51011","Appomattox County, Virginia","","14406","1990","833","73","4","140","46","10","17","94","130","154","48","44","51","22","1157","130","19","53","91","0","12","44","211","77","122","146","116","136","12416","6128","188","51","444","273","45","258","485","475","931","1034","976","557","411","6288","353","29","472","169","71","204","494","471","1022","1050","873","619","461","0.3900","11826","5719","447","173","0","173","70","103","274","184","154","0","154","102","52","30","223","175","0","175","155","20","48","389","303","0","303","245","58","86","216","205","0","205","185","20","11","1085","991","0","991","984","7","94","1082","923","0","923","874","49","159","488","400","0","400","400","0","88","264","205","0","205","205","0","59","276","96","0","96","96","0","180","392","131","131","0","261","216","39","39","0","177","457","58","58","0","399","6107","349","218","0","218","174","44","131","121","75","0","75","50","25","46","284","256","0","256","253","3","28","388","227","0","227","190","37","161","294","164","0","164","128","36","130","1099","988","0","988","965","23","111","1172","969","0","969","932","37","203","508","310","0","310","262","48","198","202","125","0","125","109","16","77","309","173","0","173","173","0","136","425","86","86","0","339","311","30","30","0","281","645","7","7","0","638","51011"
"G5100130","2006-2010","VA","","","Virginia","51","Arlington County","013","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51013","Arlington County, Virginia","","194184","13556","5757","405","144","385","247","74","88","1180","1384","667","521","360","129","173","7799","456","38","336","212","23","253","1601","1621","1016","595","384","652","612","180628","90320","5236","880","4149","1982","784","1237","7381","24467","15791","12027","9443","4213","2730","90308","4991","788","3927","2192","621","1168","8410","24614","13990","11662","9653","4052","4240","0.4290","169341","83860","2752","980","160","820","708","112","1772","1865","1270","247","1023","913","110","595","6396","5790","519","5271","5028","243","606","15051","14082","677","13405","12875","530","969","11240","10657","180","10477","10266","211","583","16587","15642","835","14807","14350","457","945","12673","11810","444","11366","11070","296","863","5398","4782","41","4741","4519","222","616","1879","1435","0","1435","1343","92","444","2606","1919","0","1919","1890","29","687","2716","1444","1423","21","1272","1649","618","584","34","1031","3048","321","321","0","2727","85481","2774","869","103","766","652","114","1905","1672","1227","0","1227","1121","106","445","7472","6643","112","6531","6287","244","829","15607","14189","435","13754","13403","351","1418","10713","9161","67","9094","8876","218","1552","15027","12594","166","12428","12058","370","2433","12272","10347","124","10223","10002","221","1925","6067","4426","0","4426","4288","138","1641","1772","1204","0","1204","1173","31","568","2230","1109","0","1109","1097","12","1121","2772","1150","1124","26","1622","1978","421","395","26","1557","5125","156","156","0","4969","51013"
"G5100150","2006-2010","VA","","","Virginia","51","Augusta County","015","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51015","Augusta County, Virginia","","69356","6293","2804","319","117","305","137","87","183","330","203","266","342","200","225","90","3489","299","0","252","110","25","149","284","468","548","393","390","170","401","63063","31438","1746","478","2305","1204","444","817","2209","3245","4278","5245","4700","2920","1847","31625","1527","364","2020","1410","459","747","2033","3154","4515","5422","4781","3038","2155","0.3950","59367","30454","1898","855","0","855","657","198","1043","868","608","0","608","528","80","260","1232","820","15","805","676","129","412","2297","1623","10","1613","1517","96","674","2138","1652","0","1652","1566","86","486","5497","4091","5","4086","3834","252","1406","6217","4806","0","4806","4698","108","1411","2955","2038","0","2038","2029","9","917","1045","638","0","638","638","0","407","1147","551","0","551","527","24","596","1910","515","506","9","1395","1287","260","251","9","1027","1963","180","180","0","1783","28913","1680","837","15","822","707","115","843","779","611","0","611","565","46","168","852","668","0","668","654","14","184","1727","1329","0","1329","1275","54","398","1895","1462","0","1462","1375","87","433","5079","4199","0","4199","4053","146","880","5815","4474","0","4474","4367","107","1341","2648","1813","0","1813","1773","40","835","1091","516","0","516","516","0","575","1440","622","0","622","622","0","818","1755","446","426","20","1309","1462","177","164","13","1285","2690","120","120","0","2570","51015"
"G5100170","2006-2010","VA","","","Virginia","51","Bath County","017","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51017","Bath County, Virginia","","4745","491","244","40","46","30","0","0","0","4","4","24","0","37","59","0","247","43","0","30","11","10","11","44","0","20","0","10","68","0","4254","2220","61","0","63","126","34","44","162","181","402","509","208","193","237","2034","40","0","172","0","0","20","105","124","367","366","383","199","258","0.3260","4047","2068","58","14","0","14","14","0","44","12","0","0","0","0","0","12","140","140","0","140","140","0","0","93","93","0","93","93","0","0","92","64","0","64","64","0","28","426","380","0","380","362","18","46","509","491","0","491","491","0","18","119","103","0","103","103","0","16","89","65","0","65","65","0","24","37","0","0","0","0","0","37","207","31","31","0","176","46","0","0","0","46","240","0","0","0","240","1979","89","65","0","65","65","0","24","36","24","0","24","24","0","12","55","11","0","11","11","0","44","37","37","0","37","37","0","0","87","87","0","87","53","34","0","387","331","0","331","317","14","56","366","273","0","273","273","0","93","189","117","0","117","117","0","72","117","84","0","84","84","0","33","87","14","0","14","14","0","73","100","46","46","0","54","167","0","0","0","167","262","0","0","0","262","51017"
"G5100190","2006-2010","VA","","","Virginia","51","Bedford County","019","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51019","Bedford County, Virginia","","67402","5897","2658","290","24","299","173","34","27","314","226","378","372","300","115","106","3239","269","15","390","112","25","50","340","367","317","445","356","210","343","61505","30817","1474","393","2443","1251","401","941","1997","2752","4402","5419","4718","3005","1621","30688","1370","423","1824","1540","538","914","1786","2741","4769","5339","4588","2918","1938","0.4250","54200","26735","1783","800","0","800","672","128","983","494","444","0","444","382","62","50","1002","948","13","935","839","96","54","1307","1202","0","1202","1135","67","105","1671","1600","56","1544","1443","101","71","4780","4364","12","4352","4196","156","416","5799","5135","0","5135","4986","149","664","2770","2182","0","2182","2134","48","588","1056","729","0","729","677","52","327","1201","691","0","691","680","11","510","1658","521","521","0","1137","1462","326","314","12","1136","1752","113","113","0","1639","27465","1690","824","0","824","698","126","866","502","390","0","390","390","0","112","898","722","0","722","613","109","176","1398","1160","12","1148","1030","118","238","1710","1269","0","1269","1243","26","441","5086","3954","0","3954","3795","159","1132","5784","4353","14","4339","4091","248","1431","2829","1651","0","1651","1608","43","1178","1058","557","0","557","545","12","501","1057","431","0","431","403","28","626","1935","480","471","9","1455","1202","168","168","0","1034","2316","44","44","0","2272","51019"
