"GISJOIN","YEAR","STUSAB","REGIONA","DIVISIONA","STATE","STATEA","COUNTY","COUNTYA","COUSUBA","PLACEA","TRACTA","BLKGRPA","CONCITA","AIANHHA","RES_ONLYA","TRUSTA","AIHHTLI","AITSCEA","ANRCA","CBSAA","CSAA","METDIVA","NECTAA","CNECTAA","NECTADIVA","UAA","CDCURRA","SLDUA","SLDLA","ZCTA5A","SUBMCDA","SDELMA","SDSECA","SDUNIA","PCI","PUMAA","GEOID","NAME","BTTRA","BTBGA","QSEE001","QSEE002","QSEE003","QSEE004","QSEE005","QSEE006","QSEE007","QSEE008","QSEE009","QSEE010","QSEE011","QSEE012","QSEE013","QSEE014","QSEE015","QSEE016","QSEE017","QSEE018","QSEE019","QSEE020","QSEE021","QSEE022","QSEE023","QSEE024","QSEE025","QSEE026","QSEE027","QSEE028","QSEE029","QSEE030","QSEE031","QSEE032","QSEE033","QSEE034","QSEE035","QSEE036","QSEE037","QSEE038","QSEE039","QSEE040","QSEE041","QSEE042","QSEE043","QSEE044","QSEE045","QSEE046","QSEE047","QSEE048","QSEE049","QSPE001","QSQE001","QSQE002","QSQE003","QSQE004","QSQE005","QSQE006","QSQE007","QSQE008","QSQE009","QSQE010","QSYE001","QSYE002","QSYE003","QSYE004","QSYE005","QSYE006","QSYE007","QSYE008","QSYE009","QSYE010","QSYE011","QSYE012","QSYE013","QSYE014","QSYE015","QSYE016","QSYE017","QSYE018","QSYE019","QSYE020","QSYE021","QUSE001","QUSE002","QUSE003","QUSE004","QUSE005","QUSE006","QUSE007","QUSE008","QUSE009","QUSE010","QUSE011","QUSE012","QUSE013","QUSE014","QUSE015","QUSE016","QUSE017","QUSE018","QUSE019","QUSE020","QUSE021","QUSE022","QUSE023","QUSE024","QUSE025","QUVE001","QUVE002","QUVE003","QUVE004","QUVE005","QUVE006","QUVE007","QUVE008","QU0E001","QU0E002","QU0E003","QU0E004","QU0E005","QU0E006","QU0E007","QU0E008","QU0E009","QU0E010","QU0E011","QU0E012","QU0E013","QU0E014","QU0E015","QU0E016","QU0E017","QU1E001","QWUE001","QXSE001","QXSE002","QXSE003","QXSE004","QXSE005","QXSE006","QXSE007","QX6E001","QX7E001","QX7E002","QX7E003","QX8E001","QX8E002","QX8E003","QZTE001","QZ6E001","FIPS"
"G5100010","2008-2012","VA","","","Virginia","51","Accomack County","001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51001","Accomack County, Virginia","","","33454","16230","1001","1085","967","647","350","210","185","557","895","845","1013","797","1144","1351","1281","550","508","406","545","732","557","329","275","17224","999","1060","798","548","241","371","76","481","951","905","878","1055","1225","1446","1316","727","638","369","690","806","791","441","412","33454","33454","22586","9620","112","41","0","480","615","12","603","33454","30552","20430","9620","112","41","0","29","320","0","320","2902","2156","0","0","0","0","451","295","12","283","23878","193","0","0","0","6","53","56","131","288","293","622","718","1131","1217","292","8220","1035","918","3070","1423","2324","1268","340","280","33012","3223","3455","2339","1999","2187","534","19275","14286","1762","1058","927","986","900","719","646","998","860","1119","1217","1355","759","317","415","248","40780","22909","27010","16037","15933","14812","1121","104","10973","21017","21017","14286","6731","14286","10070","4216","741","153800","51001"
"G5100030","2008-2012","VA","","","Virginia","51","Albemarle County","003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51003","Albemarle County, Virginia","","","99484","47564","2913","2862","3245","1832","2474","1061","686","2050","3067","2897","2816","3030","3275","3449","3153","1143","1538","882","815","1661","1053","934","728","51920","2727","3064","3103","1701","3078","1165","477","1621","3417","2917","2556","3780","3498","3889","3840","1251","1468","1038","1161","1884","1546","1470","1269","99484","99484","81403","9751","313","4240","0","1027","2750","361","2389","99484","94141","77470","9487","215","4240","0","323","2406","181","2225","5343","3933","264","98","0","0","704","344","180","164","65425","703","10","1","19","67","49","101","132","585","278","757","596","893","1421","460","10568","1130","3003","6596","3887","17321","9581","3538","3729","93607","4016","4305","3153","3066","4015","1827","73225","37549","2228","1340","1149","1552","1533","1630","1436","1576","1495","2883","3480","4778","3796","2171","3008","3494","67797","37837","80309","49733","49475","47286","2189","258","30576","42332","42332","37549","4783","37549","24648","12901","1080","332400","51003"
"G5100050","2008-2012","VA","","","Virginia","51","Alleghany County","005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51005","Alleghany County, Virginia","","","16297","7956","410","504","532","353","195","67","132","141","316","351","458","568","547","647","740","232","271","260","292","404","260","148","128","8341","357","539","416","324","116","82","69","253","335","374","444","605","608","666","678","178","400","216","391","398","282","302","308","16297","16297","15210","801","6","127","0","10","143","2","141","16297","16132","15057","801","6","127","0","0","141","0","141","165","153","0","0","0","0","10","2","2","0","11807","169","0","0","0","0","18","1","22","42","186","370","190","418","460","141","3742","603","901","1581","1067","1160","646","65","25","15980","690","981","795","861","1116","334","11203","6851","323","412","573","421","336","341","469","468","275","677","720","854","533","196","171","82","46133","23680","13235","7711","7707","7261","446","4","5524","8064","8064","6851","1213","6851","5617","1234","546","117700","51005"
"G5100070","2008-2012","VA","","","Virginia","51","Amelia County","007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51007","Amelia County, Virginia","","","12674","6272","316","392","442","331","185","24","85","192","375","322","420","437","452","522","424","183","206","229","152","245","202","106","30","6402","409","540","152","241","187","23","77","178","194","388","569","330","574","507","358","116","450","159","230","245","191","97","187","12674","12674","9219","3052","117","59","18","16","193","49","144","12674","12590","9200","3052","117","59","18","0","144","0","144","84","19","0","0","0","0","16","49","49","0","8900","169","0","0","0","42","58","6","38","99","89","61","253","456","424","123","3024","409","550","1123","689","946","280","61","0","12579","639","633","1028","515","1110","500","8154","4777","253","366","185","201","241","309","245","277","286","470","479","716","271","146","187","145","50596","24548","10256","5888","5876","5403","473","12","4368","5369","5369","4777","592","4777","3867","910","823","201100","51007"
"G5100090","2008-2012","VA","","","Virginia","51","Amherst County","009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51009","Amherst County, Virginia","","","32301","15406","983","808","1117","624","500","232","146","465","912","702","922","1053","1128","1294","1009","385","800","434","464","543","497","245","143","16895","822","616","1161","693","759","241","319","458","847","801","952","1131","1302","1337","1162","489","662","494","468","722","609","390","460","32301","32301","24630","6083","331","196","18","304","739","175","564","32301","31665","24374","5992","301","196","18","220","564","0","564","636","256","91","30","0","0","84","175","175","0","22357","339","0","0","38","2","156","41","177","253","297","424","425","988","980","394","6466","1372","1476","3163","1636","2545","894","117","174","31151","1871","1766","1522","1372","2347","1016","21257","12683","978","772","785","801","754","562","780","907","595","1064","1565","1575","768","461","260","56","45020","22169","26437","16466","16447","15175","1272","19","9971","13972","13972","12683","1289","12683","9614","3069","637","151800","51009"
"G5100110","2008-2012","VA","","","Virginia","51","Appomattox County","011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51011","Appomattox County, Virginia","","","14952","7374","441","561","426","362","158","40","103","278","442","385","397","488","534","573","432","312","259","164","331","227","355","83","23","7578","379","453","468","239","84","76","67","293","445","400","477","488","581","627","507","225","327","156","280","304","317","134","251","14952","14952","11468","3206","12","27","0","16","223","0","223","14952","14932","11448","3206","12","27","0","16","223","0","223","20","20","0","0","0","0","0","0","0","0","10524","93","0","0","0","0","29","56","13","73","177","242","222","451","482","192","3307","567","606","1795","754","1008","295","103","59","14768","904","1521","429","556","830","428","10100","5902","493","303","483","310","243","326","312","216","259","651","671","843","427","211","111","43","50092","23021","12030","7294","7283","6676","607","11","4736","6903","6903","5902","1001","5902","4512","1390","562","145200","51011"
"G5100130","2008-2012","VA","","","Virginia","51","Arlington County","013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51013","Arlington County, Virginia","","","209077","104287","6145","4499","3973","2237","1589","1087","754","5997","16479","12434","8985","8458","7084","6211","5484","2113","2767","1504","1366","2072","1197","883","969","104790","5816","4969","3268","2119","1379","782","648","7431","16970","12031","8508","7340","6527","6129","6136","1986","2469","1531","1665","2136","1863","1213","1874","209077","209077","149199","17742","824","20085","142","13954","7131","1696","5435","209077","177572","133346","17518","425","19948","107","1120","5108","417","4691","31505","15853","224","399","137","35","12834","2023","1279","744","156384","2345","9","97","191","206","222","351","425","839","595","962","959","1185","1262","1632","12467","1715","3389","10281","5831","53588","38241","13658","5934","206123","7121","7814","3480","4486","7910","2622","172690","92992","3108","1843","1857","1910","1874","1825","2168","2375","2001","5023","8362","13125","10899","8450","11686","16486","102459","61312","178878","142520","139084","134017","5067","3436","36358","105395","105395","92992","12403","92992","42696","50296","1678","577300","51013"
"G5100150","2008-2012","VA","","","Virginia","51","Augusta County","015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51015","Augusta County, Virginia","","","73662","37616","1883","2198","2450","1567","872","470","459","1247","2183","2123","2235","2907","3103","3105","2991","1066","1162","954","1115","1408","958","715","445","36046","1796","1792","2482","1451","786","368","402","778","1760","1863","2359","2533","3012","2899","2715","1212","1495","850","1130","1545","1218","947","653","73662","73662","68529","2990","231","375","84","835","618","82","536","73662","72086","67911","2959","231","375","84","24","502","10","492","1576","618","31","0","0","0","811","116","72","44","52661","449","0","0","0","78","25","40","269","464","727","1123","1268","1704","1345","865","18973","3397","3365","5216","2885","7405","2278","412","373","69815","3120","3356","3063","3372","5045","2526","49333","28297","1678","1439","1381","1524","1771","1403","1762","1688","1273","2606","3745","3615","2014","1141","875","382","50971","23882","59984","35984","35849","34114","1735","135","24000","31249","31249","28297","2952","28297","23005","5292","734","195200","51015"
"G5100170","2008-2012","VA","","","Virginia","51","Bath County","017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51017","Bath County, Virginia","","","4713","2286","162","139","60","97","5","11","0","45","107","128","92","207","169","355","134","71","35","130","124","63","92","60","0","2427","182","76","168","103","84","28","0","93","75","67","152","221","181","170","187","70","95","62","47","176","89","19","82","4713","4713","4499","169","0","34","0","11","0","0","0","4713","4570","4367","169","0","34","0","0","0","0","0","143","132","0","0","0","0","11","0","0","0","3460","18","0","0","11","0","17","0","0","14","49","165","32","146","62","47","1351","145","179","500","167","302","204","51","0","4654","259","389","689","269","147","14","2887","2008","134","107","62","85","72","118","177","63","142","320","278","259","72","20","79","20","51528","27471","3886","2502","2502","2424","78","0","1384","3056","3056","2008","1048","2008","1606","402","781","147900","51017"
"G5100190","2008-2012","VA","","","Virginia","51","Bedford County","019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51019","Bedford County, Virginia","","","68750","33950","1781","2170","2315","1407","754","408","288","942","1419","1597","2098","2433","2807","2921","2886","1026","1342","732","1121","1585","945","464","509","34800","1583","2035","2382","1458","719","314","238","926","1473","1714","2212","2712","2822","3035","2923","1165","1152","971","993","1571","1054","835","513","68750","68750","62962","3830","96","721","30","105","1006","99","907","68750","67625","61964","3813","96","721","30","72","929","22","907","1125","998","17","0","0","0","33","77","77","0","49030","348","10","0","14","5","44","89","106","295","504","708","996","1585","1181","746","13505","2590","3691","7096","3394","7584","3233","761","545","68377","2515","3502","3037","2467","3857","1982","51017","27017","1290","1244","1183","1208","1556","1307","1317","1445","1266","2277","3348","3980","2245","1364","1177","810","56906","28360","55477","35381","35306","33081","2225","75","20096","31991","31991","27017","4974","27017","22899","4118","709","195300","51019"
