"GISJOIN","YEAR","STUSAB","REGIONA","DIVISIONA","STATE","STATEA","COUNTY","COUNTYA","COUSUBA","PLACEA","TRACTA","BLKGRPA","CONCITA","AIANHHA","RES_ONLYA","TRUSTA","AIHHTLI","AITSCEA","ANRCA","CBSAA","CSAA","METDIVA","NECTAA","CNECTAA","NECTADIVA","UAA","CDCURRA","SLDUA","SLDLA","ZCTA5A","SUBMCDA","SDELMA","SDSECA","SDUNIA","PCI","PUMAA","GEOID","NAME","BTTRA","BTBGA","ABAQE001","ABAQE002","ABAQE003","ABAQE004","ABAQE005","ABAQE006","ABAQE007","ABAQE008","ABAQE009","ABAQE010","ABAQE011","ABAQE012","ABAQE013","ABAQE014","ABAQE015","ABAQE016","ABAQE017","ABAQE018","ABAQE019","ABAQE020","ABAQE021","ABAQE022","ABAQE023","ABAQE024","ABAQE025","ABAQE026","ABAQE027","ABAQE028","ABAQE029","ABAQE030","ABAQE031","ABAQE032","ABAQE033","ABAQE034","ABAQE035","ABAQE036","ABAQE037","ABAQE038","ABAQE039","ABAQE040","ABAQE041","ABAQE042","ABAQE043","ABAQE044","ABAQE045","ABAQE046","ABAQE047","ABAQE048","ABAQE049","ABA1E001","ABA2E001","ABA2E002","ABA2E003","ABA2E004","ABA2E005","ABA2E006","ABA2E007","ABA2E008","ABA2E009","ABA2E010","ABBAE001","ABBAE002","ABBAE003","ABBAE004","ABBAE005","ABBAE006","ABBAE007","ABBAE008","ABBAE009","ABBAE010","ABBAE011","ABBAE012","ABBAE013","ABBAE014","ABBAE015","ABBAE016","ABBAE017","ABBAE018","ABBAE019","ABBAE020","ABBAE021","ABC4E001","ABC4E002","ABC4E003","ABC4E004","ABC4E005","ABC4E006","ABC4E007","ABC4E008","ABC4E009","ABC4E010","ABC4E011","ABC4E012","ABC4E013","ABC4E014","ABC4E015","ABC4E016","ABC4E017","ABC4E018","ABC4E019","ABC4E020","ABC4E021","ABC4E022","ABC4E023","ABC4E024","ABC4E025","ABDJE001","ABDJE002","ABDJE003","ABDJE004","ABDJE005","ABDJE006","ABDJE007","ABDJE008","ABDOE001","ABDOE002","ABDOE003","ABDOE004","ABDOE005","ABDOE006","ABDOE007","ABDOE008","ABDOE009","ABDOE010","ABDOE011","ABDOE012","ABDOE013","ABDOE014","ABDOE015","ABDOE016","ABDOE017","ABDPE001","ABFIE001","ABGFE001","ABGFE002","ABGFE003","ABGFE004","ABGFE005","ABGFE006","ABGFE007","ABGVE001","ABGWE001","ABGWE002","ABGWE003","ABGXE001","ABGXE002","ABGXE003","ABIHE001","ABIOE001","ABITE001","FIPS"
"G5100010","2010-2014","VA","","","Virginia","51","Accomack County","001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51001","Accomack County, Virginia","","","33165","16122","1042","1139","875","542","302","122","119","747","857","854","1029","796","1027","1257","1391","449","589","496","537","772","528","363","289","17043","974","991","829","550","513","122","59","443","953","868","885","996","1146","1316","1286","726","737","465","641","897","731","540","375","33165","33165","22736","9495","105","36","0","308","485","9","476","33165","30256","20234","9475","105","36","0","4","402","0","402","2909","2502","20","0","0","0","304","83","9","74","23796","237","0","0","14","2","93","25","188","352","280","744","760","1003","1012","342","8143","960","974","2832","1489","2489","1389","301","167","32646","3362","3335","2023","2726","2487","567","18146","14289","1680","941","1112","959","1068","680","791","793","757","970","1306","1330","863","395","328","316","39389","23206","26952","15731","15604","14433","1171","127","11221","21054","21054","14289","6765","14289","10053","4236","715","26.2","152500","51001"
"G5100030","2010-2014","VA","","","Virginia","51","Albemarle County","003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51003","Albemarle County, Virginia","","","101883","48767","2914","2942","3197","1915","2948","918","758","1299","3488","3105","2690","3161","3108","3379","3424","1101","1680","978","1059","1732","1210","927","834","53116","2752","3078","2982","1853","3034","1186","508","1646","3532","3044","2984","3150","3487","3882","3799","1406","1865","1308","1247","1913","1511","1247","1702","101883","101883","83125","9616","279","4415","20","1283","3145","265","2880","101883","96185","78949","9430","205","4415","20","405","2761","82","2679","5698","4176","186","74","0","0","878","384","183","201","67953","752","0","1","30","43","33","85","243","388","335","752","517","895","1079","662","11178","1423","3006","7196","3940","17608","10624","3459","3704","94466","4977","4185","3996","2206","4669","1684","72749","38537","2381","1384","1199","1332","1761","1494","1443","1762","1453","3171","3629","4865","3625","2569","2896","3573","67958","37510","82748","49562","49148","46962","2186","414","33186","43128","43128","38537","4591","38537","25135","13402","1115","30.0","317300","51003"
"G5100050","2010-2014","VA","","","Virginia","51","Alleghany County","005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51005","Alleghany County, Virginia","","","16133","7911","349","432","553","334","180","125","70","179","361","360","493","438","554","632","677","297","214","268","322","462","247","197","167","8222","352","523","349","314","154","100","105","178","376","377","368","588","576","639","629","222","375","232","372","473","381","323","216","16133","16133","15053","813","2","55","5","19","186","25","161","16133","15918","14862","813","2","55","5","11","170","9","161","215","191","0","0","0","0","8","16","16","0","11836","142","0","0","0","4","49","18","2","24","150","299","164","474","385","158","3653","699","1023","1671","919","1210","620","93","79","15836","1093","1157","791","986","894","488","10427","6714","510","417","592","454","277","394","435","266","271","574","671","794","506","328","131","94","45183","24399","13288","7203","7187","6740","447","16","6085","8066","8066","6714","1352","6714","5337","1377","575","27.1","111600","51005"
"G5100070","2010-2014","VA","","","Virginia","51","Amelia County","007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51007","Amelia County, Virginia","","","12764","6344","330","343","515","307","131","28","61","167","448","195","460","415","555","496","577","120","228","254","131","263","217","63","40","6420","370","436","204","239","241","97","30","179","200","255","578","351","525","530","310","207","489","201","261","260","182","94","181","12764","12764","9258","3184","61","14","12","62","173","80","93","12764","12649","9203","3184","61","14","12","49","126","33","93","115","55","0","0","0","0","13","47","47","0","9086","251","0","0","0","40","41","0","51","57","94","89","199","360","444","223","2528","579","709","1328","672","1041","316","48","16","12658","686","524","1305","529","887","475","8252","4761","306","263","219","95","214","367","193","214","274","422","520","615","503","215","242","99","55870","25545","10395","6035","6023","5664","359","12","4360","5400","5400","4761","639","4761","3886","875","679","46.7","179300","51007"
"G5100090","2010-2014","VA","","","Virginia","51","Amherst County","009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51009","Amherst County, Virginia","","","32237","15415","928","817","1061","674","529","240","92","559","838","772","890","901","1132","1223","1119","400","735","486","501","564","559","228","167","16822","781","834","916","610","673","320","326","512","756","843","929","1115","1217","1387","1220","485","719","454","555","734","470","490","476","32237","32237","24770","6001","256","236","16","260","698","18","680","32237","31572","24405","5994","238","236","16","3","680","0","680","665","365","7","18","0","0","257","18","18","0","22365","350","0","0","0","8","79","34","160","191","273","375","505","957","1011","345","6392","1405","1523","3034","1624","2827","1092","67","113","31337","1688","1821","2204","1373","2618","491","21142","12577","921","619","937","809","817","775","642","808","430","1200","1229","1656","985","431","186","132","44765","22938","26625","16130","16114","14891","1223","16","10495","14044","14044","12577","1467","12577","9373","3204","687","25.9","149000","51009"
"G5100110","2010-2014","VA","","","Virginia","51","Appomattox County","011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51011","Appomattox County, Virginia","","","15137","7317","480","546","409","266","126","54","63","286","471","469","356","457","495","567","501","207","303","232","305","288","261","98","77","7820","390","348","541","318","85","48","67","295","491","438","465","497","523","616","673","141","367","205","286","332","274","142","278","15137","15137","11673","3023","44","24","0","76","297","17","280","15137","14960","11609","3023","28","24","0","14","262","0","262","177","64","0","16","0","0","62","35","17","18","10815","94","0","0","13","0","25","53","47","104","178","185","212","408","395","234","3520","624","645","1618","807","1021","443","113","76","14983","827","1905","786","421","884","486","9674","5964","491","441","379","325","238","245","443","241","315","527","695","832","432","196","102","62","47927","23098","12246","6919","6912","6410","502","7","5327","7006","7006","5964","1042","5964","4839","1125","674","34.1","137100","51011"
"G5100130","2010-2014","VA","","","Virginia","51","Arlington County","013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51013","Arlington County, Virginia","","","220173","110103","6754","4973","4411","2349","1465","935","780","5938","16714","13893","9537","8923","7432","6613","5606","2093","2985","1529","1711","2281","1174","1018","989","110070","6290","5192","3890","2238","1499","701","438","6776","17454","13336","9251","7925","6818","6315","6011","2026","2991","1697","1937","2398","1857","1285","1745","220173","220173","158046","18354","1190","21399","213","13711","7260","1470","5790","220173","186159","139255","18071","545","21300","169","960","5859","573","5286","34014","18791","283","645","99","44","12751","1401","897","504","165544","2609","9","23","158","117","225","253","458","1005","520","921","896","1041","1227","1475","12651","1742","3390","11686","5988","56668","41516","14512","6454","217382","9429","9686","3798","4694","8288","2485","179002","96264","3360","1747","2396","2070","2088","1909","1975","1966","2239","4712","7688","12952","11378","8882","12092","18810","105120","62854","187104","147213","144152","138956","5196","3061","39891","108021","108021","96264","11757","96264","43157","53107","1802","26.6","594800","51013"
"G5100150","2010-2014","VA","","","Virginia","51","Augusta County","015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51015","Augusta County, Virginia","","","73707","37288","1697","2261","2201","1477","896","431","490","1286","2139","2254","1986","2753","2889","3044","2823","1126","1412","807","1395","1616","1094","808","403","36419","1722","2033","2267","1377","739","382","393","961","1796","1885","1932","2705","2835","2966","2769","1221","1587","768","1296","1780","1373","995","637","73707","73707","68577","3029","187","421","35","757","701","64","637","73707","72040","67775","2991","182","421","35","70","566","9","557","1667","802","38","5","0","0","687","135","55","80","53094","512","12","0","0","15","26","16","181","308","462","1071","983","1890","1198","900","18264","3473","3444","5854","3226","7321","2962","462","514","69988","2824","3712","3226","3036","4399","2913","49878","28124","1399","1409","1438","1204","1592","1384","1555","1479","1508","2864","3214","4094","2099","1106","1089","690","54018","26398","60497","36395","36251","34432","1819","144","24102","31550","31550","28124","3426","28124","22813","5311","806","27.5","197600","51015"
"G5100170","2010-2014","VA","","","Virginia","51","Bath County","017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51017","Bath County, Virginia","","","4644","2274","185","26","189","78","18","0","0","2","107","124","81","190","170","241","147","39","86","96","142","99","106","105","43","2370","89","44","205","50","46","19","0","73","131","41","96","177","203","185","195","107","112","58","80","198","81","28","152","4644","4644","4260","275","0","0","0","1","108","0","108","4644","4561","4178","275","0","0","0","0","108","0","108","83","82","0","0","0","0","1","0","0","0","3620","13","0","0","0","0","0","0","0","15","89","117","13","104","41","62","1334","179","225","572","140","455","173","88","0","4559","173","253","384","474","131","69","3075","2225","184","129","144","101","70","81","181","181","150","316","150","122","206","91","91","28","46153","32259","3893","2408","2408","2309","99","0","1485","3403","3403","2225","1178","2225","1674","551","583","15.2","151200","51017"
"G5100190","2010-2014","VA","","","Virginia","51","Bedford County","019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51019","Bedford County, Virginia","","","75607","37188","1737","2338","2339","1662","824","423","396","1126","1688","1685","2079","2537","2828","3277","3021","1270","1547","987","1360","1718","1088","747","511","38419","1793","2129","2540","1490","742","364","366","1196","1645","1902","1938","2990","2784","3316","3281","1167","1509","867","1207","2163","1344","985","701","75607","75607","68143","5257","125","887","23","144","1028","66","962","75607","74220","66995","5242","94","887","23","68","911","0","911","1387","1148","15","31","0","0","76","117","66","51","54142","388","11","42","57","22","25","19","158","265","484","893","748","1333","1150","784","14794","2872","3992","7622","4232","9262","3577","944","468","75046","3747","3891","2712","2280","4177","2723","55516","30122","1931","1417","1234","1442","1442","1760","1263","1503","1496","2514","3508","4143","2632","1558","1344","935","56043","28548","61455","38292","38207","35551","2656","85","23163","35308","35308","30122","5186","30122","24628","5494","756","31.4","196500","51019"
