"GISJOIN","YEAR","STUSAB","REGIONA","DIVISIONA","STATE","STATEA","COUNTY","COUNTYA","COUSUBA","PLACEA","TRACTA","BLKGRPA","CONCITA","AIANHHA","RES_ONLYA","TRUSTA","AIHHTLI","AITSCEA","ANRCA","CBSAA","CSAA","METDIVA","NECTAA","CNECTAA","NECTADIVA","UAA","CDCURRA","SLDUA","SLDLA","ZCTA5A","SUBMCDA","SDELMA","SDSECA","SDUNIA","PCI","PUMAA","GEOID","NAME","BTTRA","BTBGA","AF2AE001","AF2AE002","AF2AE003","AF2AE004","AF2AE005","AF2AE006","AF2AE007","AF2AE008","AF2AE009","AF2AE010","AF2AE011","AF2AE012","AF2AE013","AF2AE014","AF2AE015","AF2AE016","AF2AE017","AF2AE018","AF2AE019","AF2AE020","AF2AE021","AF2AE022","AF2AE023","AF2AE024","AF2AE025","AF2AE026","AF2AE027","AF2AE028","AF2AE029","AF2AE030","AF2AE031","AF2AE032","AF2AE033","AF2AE034","AF2AE035","AF2AE036","AF2AE037","AF2AE038","AF2AE039","AF2AE040","AF2AE041","AF2AE042","AF2AE043","AF2AE044","AF2AE045","AF2AE046","AF2AE047","AF2AE048","AF2AE049","AF2LE001","AF2ME001","AF2ME002","AF2ME003","AF2ME004","AF2ME005","AF2ME006","AF2ME007","AF2ME008","AF2ME009","AF2ME010","AF2UE001","AF2UE002","AF2UE003","AF2UE004","AF2UE005","AF2UE006","AF2UE007","AF2UE008","AF2UE009","AF2UE010","AF2UE011","AF2UE012","AF2UE013","AF2UE014","AF2UE015","AF2UE016","AF2UE017","AF2UE018","AF2UE019","AF2UE020","AF2UE021","AF4OE001","AF4OE002","AF4OE003","AF4OE004","AF4OE005","AF4OE006","AF4OE007","AF4OE008","AF4OE009","AF4OE010","AF4OE011","AF4OE012","AF4OE013","AF4OE014","AF4OE015","AF4OE016","AF4OE017","AF4OE018","AF4OE019","AF4OE020","AF4OE021","AF4OE022","AF4OE023","AF4OE024","AF4OE025","AF43E001","AF43E002","AF43E003","AF43E004","AF43E005","AF43E006","AF43E007","AF43E008","AF48E001","AF48E002","AF48E003","AF48E004","AF48E005","AF48E006","AF48E007","AF48E008","AF48E009","AF48E010","AF48E011","AF48E012","AF48E013","AF48E014","AF48E015","AF48E016","AF48E017","AF49E001","AF6AE001","AF67E001","AF67E002","AF67E003","AF67E004","AF67E005","AF67E006","AF67E007","AF7PE001","AF7PE002","AF7PE003","AF89E001","AF9LE001","FIPS"
"G5100010","2012-2016","VA","","","Virginia","51","Accomack County","001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51001","Accomack County, Virginia","","","33060","16125","1073","985","1037","536","281","164","139","664","838","891","1034","724","968","1135","1404","398","713","425","659","840","559","310","348","16935","875","937","908","561","363","157","178","352","981","888","886","936","1056","1248","1369","495","958","701","565","868","675","490","488","33060","33060","22369","9573","122","62","0","488","446","9","437","33060","30150","20031","9547","122","62","0","34","354","0","354","2910","2338","26","0","0","0","454","92","9","83","23850","279","0","0","21","71","58","25","208","429","273","509","695","857","738","487","8590","1067","1043","2698","1429","2647","1230","225","271","32588","2599","3742","1872","2291","3077","534","18473","13819","1460","812","1194","887","1111","808","901","591","586","973","1385","1330","819","384","262","316","38503","23337","26930","15355","15206","14137","1069","149","11575","13819","9605","4214","749","151900","51001"
"G5100030","2012-2016","VA","","","Virginia","51","Albemarle County","003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51003","Albemarle County, Virginia","","","104287","49946","2912","3055","3132","1983","2723","989","868","1497","3372","3224","2798","3071","3165","3225","3739","1086","1664","1240","1330","1719","1221","941","992","54341","2753","3101","2937","1848","3112","1124","454","1773","3522","3202","3126","3069","3325","3784","4054","1447","1993","1334","1612","2073","1674","1245","1779","104287","104287","84955","9747","250","4733","34","1627","2941","182","2759","104287","98455","80744","9719","174","4733","34","300","2751","103","2648","5832","4211","28","76","0","0","1327","190","79","111","70026","794","0","0","9","15","20","70","247","401","318","843","441","991","970","912","10862","1610","3436","7741","4259","17855","10502","3786","3944","96448","5434","3907","2881","2948","4453","1723","75102","39431","2161","1063","1151","1364","1623","1349","1548","1945","1679","3096","4135","5189","3653","2544","2877","4054","70342","38039","84980","51917","51563","49890","1673","354","33063","39431","25584","13847","1156","317300","51003"
"G5100050","2012-2016","VA","","","Virginia","51","Alleghany County","005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51005","Alleghany County, Virginia","","","15919","7788","368","379","510","324","164","127","40","223","457","364","442","386","524","588","567","238","367","283","356","428","237","212","204","8131","351","513","351","302","149","119","88","191","384","356","409","487","536","597","563","239","411","298","359","505","381","283","259","15919","15919","14745","829","2","23","6","68","246","31","215","15919","15691","14636","829","2","23","6","13","182","4","178","228","109","0","0","0","0","55","64","27","37","11720","136","0","0","0","10","24","9","11","34","124","257","297","385","349","185","3795","659","974","1572","990","1234","475","99","101","15562","1377","1470","695","749","1039","430","9802","6845","628","494","507","512","265","314","377","290","316","532","691","754","629","214","225","97","45538","25220","13235","6736","6731","6424","307","5","6499","6845","5396","1449","636","111500","51005"
"G5100070","2012-2016","VA","","","Virginia","51","Amelia County","007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51007","Amelia County, Virginia","","","12793","6642","475","475","448","358","192","0","78","201","350","340","380","319","460","537","691","86","194","237","132","354","188","85","62","6151","227","379","236","120","130","126","44","380","203","289","441","275","407","602","416","247","363","212","203","315","238","84","214","12793","12793","9389","3010","65","16","0","33","280","38","242","12793","12641","9237","3010","65","16","0","33","280","38","242","152","152","0","0","0","0","0","0","0","0","8924","323","0","0","0","0","46","4","35","20","169","99","252","273","235","217","2637","649","611","1549","549","885","266","78","27","12678","823","642","512","409","1135","740","8417","4540","373","96","198","75","213","290","229","190","243","444","524","579","583","327","138","38","58269","25335","10377","6252","6252","6000","252","0","4125","4540","3845","695","689","171500","51007"
"G5100090","2012-2016","VA","","","Virginia","51","Amherst County","009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51009","Amherst County, Virginia","","","31999","15346","899","726","1071","671","488","201","180","532","840","780","907","827","1088","1204","1123","503","650","390","612","660","485","271","238","16653","783","875","847","565","534","256","329","547","787","759","807","1256","1128","1330","1230","552","687","423","609","800","529","671","349","31999","31999","24609","5717","117","185","14","267","1090","23","1067","31999","31300","24195","5710","95","185","14","34","1067","0","1067","699","414","7","22","0","0","233","23","23","0","22495","369","0","0","0","30","41","31","50","157","208","416","491","933","714","441","6508","1344","1611","2978","1926","2742","1257","103","145","31248","2529","1876","1608","1444","2484","672","20635","12306","945","609","632","653","992","901","697","495","527","1246","1253","1554","1012","384","237","169","47002","23372","26484","15542","15542","14683","859","0","10942","12306","9434","2872","696","149400","51009"
"G5100110","2012-2016","VA","","","Virginia","51","Appomattox County","011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51011","Appomattox County, Virginia","","","15314","7424","472","484","437","302","136","78","62","286","463","442","385","467","515","522","540","210","297","223","337","288","295","95","88","7890","404","431","469","349","172","73","57","253","443","427","488","443","611","507","737","137","310","228","302","358","261","193","237","15314","15314","11869","3149","13","12","0","31","240","8","232","15314","15128","11736","3149","7","12","0","0","224","0","224","186","133","0","6","0","0","31","16","8","8","10849","113","0","0","5","0","22","21","30","87","107","253","251","380","305","209","3228","611","704","1519","883","1179","722","71","149","15212","1096","1537","871","533","802","280","10093","5972","552","370","289","272","264","297","388","247","202","434","705","970","473","252","161","96","52134","24902","12299","6953","6944","6632","312","9","5346","5972","4757","1215","700","149600","51011"
"G5100130","2012-2016","VA","","","Virginia","51","Arlington County","013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51013","Arlington County, Virginia","","","226092","112644","6938","5696","4605","2423","1406","730","641","5873","15828","14332","10308","8801","7796","6961","5740","1897","3265","1534","2059","2519","1265","959","1068","113448","6554","5703","4226","2402","1629","629","496","6328","16676","13831","9877","8441","7113","6473","5936","2154","3294","1973","2144","2654","1636","1350","1929","226092","226092","163181","19477","883","22655","195","12744","6957","947","6010","226092","191316","142177","18996","644","22565","187","847","5900","497","5403","34776","21004","481","239","90","8","11897","1057","450","607","169813","2807","0","25","38","25","236","339","437","1399","490","864","593","659","1067","1611","12390","1523","3261","11216","5741","58654","44417","14644","7377","223272","9803","9725","5340","4125","6696","2085","185498","100707","4053","1646","2018","2251","2226","1972","1933","1994","2074","4921","7477","12744","11765","9179","14000","20454","108706","64746","191001","149956","147217","142212","5005","2739","41045","100707","44531","56176","1861","623300","51013"
"G5100150","2012-2016","VA","","","Virginia","51","Augusta County","015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51015","Augusta County, Virginia","","","74330","37572","1731","2035","2365","1451","881","529","455","1207","2185","2310","1807","2679","2723","3083","2888","1149","1488","799","1471","1863","1208","847","418","36758","1827","1821","2273","1384","747","397","303","1224","1822","1872","1808","2629","2653","2926","2957","1032","1700","971","1202","2010","1357","1125","718","74330","74330","69292","2993","171","438","66","382","988","71","917","74330","72526","68122","2932","153","438","66","88","727","5","722","1804","1170","61","18","0","0","294","261","66","195","53700","443","21","0","0","3","30","29","128","248","598","691","1020","1612","1475","936","17303","3405","3338","6332","3565","8256","3110","577","580","70854","2388","4162","2802","2726","4466","2793","51517","28425","1243","1588","1365","1050","1582","1239","1482","1337","1306","3099","3289","4241","2328","1303","1030","943","56802","28601","61398","36366","36258","34486","1772","108","25032","28425","22601","5824","866","199700","51015"
"G5100170","2012-2016","VA","","","Virginia","51","Bath County","017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51017","Bath County, Virginia","","","4558","2465","147","94","281","112","12","15","0","16","192","86","144","193","134","219","183","25","104","129","67","59","138","72","43","2093","63","30","97","52","40","41","0","105","143","35","147","133","260","178","176","67","77","55","83","161","18","72","60","4558","4558","4269","96","0","0","0","23","170","23","147","4558","4421","4178","96","0","0","0","0","147","0","147","137","91","0","0","0","0","23","23","23","0","3453","1","0","0","0","0","0","0","0","12","50","85","14","131","32","112","1155","269","343","534","182","367","146","20","0","4454","164","209","377","503","80","155","2966","2104","157","73","108","76","43","124","275","197","238","231","140","123","136","70","102","11","44985","28210","3742","2419","2419","2209","210","0","1323","2104","1430","674","478","146400","51017"
"G5100190","2012-2016","VA","","","Virginia","51","Bedford County","019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51019","Bedford County, Virginia","","","76933","37888","1869","2452","2156","1623","863","454","530","1123","1830","1708","2003","2356","2630","3237","3088","1289","1664","1057","1451","2008","1179","881","437","39045","1860","1871","2644","1584","666","388","442","1318","1739","1821","2033","2523","2792","3307","3206","1174","1827","952","1593","2130","1498","888","789","76933","76933","69167","5345","93","983","21","191","1133","91","1042","76933","75421","67997","5333","65","960","21","0","1045","73","972","1512","1170","12","28","23","0","191","88","18","70","55090","443","0","36","26","29","31","43","119","155","426","754","840","1248","1244","720","14053","2803","4067","7835","4901","9619","4124","816","758","76365","3752","3276","3019","2414","4498","2037","57369","30821","1969","1493","1300","1276","1349","1650","1263","1329","1812","2792","3203","4217","2959","1732","1389","1088","56725","29561","62897","38136","38101","36302","1799","35","24761","30821","25056","5765","759","196900","51019"
