"GISJOIN","YEAR","STUSAB","REGIONA","DIVISIONA","STATE","STATEA","COUNTY","COUNTYA","COUSUBA","PLACEA","TRACTA","CONCITA","AIANHHA","RES_ONLYA","TRUSTA","AIHHTLI","AITSCEA","ANRCA","CBSAA","CSAA","METDIVA","NECTAA","CNECTAA","NECTADIVA","UAA","CDCURRA","SLDUA","SLDLA","ZCTA5A","SUBMCDA","SDELMA","SDSECA","SDUNIA","PCI","PUMAA","GEOID","NAME","BTTRA","AM0KE001","AM0KE002","AM0KE003","AM0KE004","AM0KE005","AM0KE006","AM63E001","AM63E002","AM63E003","AM63E004","AM63E005","AM63E006","AM63E007","AM63E008","AM63E009","AM63E010","AM63E011","AM63E012","AM63E013","AM63E014","AM63E015","AM63E016","AM63E017","AM63E018","AM63E019","AM63E020","AM63E021","AM63E022","AM63E023","AM63E024","AM63E025","AM63E026","AM63E027","AM63E028","AM63E029","AM63E030","AM63E031","AM63E032","AM63E033","AM63E034","AM63E035","AM63E036","AM63E037","AM63E038","AM63E039","AM63E040","AM63E041","AM63E042","AM63E043","AM63E044","AM63E045","AM63E046","AM63E047","AM63E048","AM63E049","AM63E050","AM63E051","AM63E052","AM63E053","AM63E054","AM63E055","AM63E056","AM63E057","AM63E058","AM63E059","AM70E001","AM70E002","AM70E003","AM70E004","AM70E005","AM70E006","AM70E007","AM70E008","AM70E009","AM70E010","AM70E011","AM70E012","AM70E013","AM70E014","AM70E015","AM70E016","AM70E017","AM8FE001","AM8FE002","AM8FE003","AM8FE004","AM8FE005","AM8FE006","AM8FE007","AM8FE008","AM8FE009","AM8FE010","AM8FE011","AM8FE012","AM8FE013","AM8FE014","AM8FE015","AM8FE016","AM8FE017","AM8FE018","AM8FE019","AM8FE020","AM8FE021","AM8FE022","AM8FE023","AM8FE024","AM8FE025","AM8FE026","AM8FE027","AM8FE028","AM8FE029","AM8FE030","AM8FE031","AM8FE032","AM8FE033","AM8FE034","AM8FE035","AM8FE036","AM8FE037","AM8FE038","AM8FE039","AM9SE001","FIPS"
"G5100010","2016-2020","VA","","","Virginia","51","Accomack County","001","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51001","Accomack County, Virginia","","32560","29524","119","192","782","1943","32227","6373","3092","394","44","439","113","103","214","422","281","254","105","404","167","152","3281","346","121","358","125","11","35","212","435","371","154","467","340","306","25854","12623","566","92","828","452","158","231","561","1467","1514","1571","2034","1963","1186","13231","515","144","726","316","136","282","695","1516","1253","1858","2377","2036","1377","32227","6373","905","797","601","2764","848","267","191","25854","1317","1554","1575","12935","5910","1874","689","32129","15612","961","6","955","2677","119","2558","2624","78","2546","5882","659","5223","2130","485","1645","1338","534","804","16517","861","8","853","2265","38","2227","2858","157","2701","6474","823","5651","2376","426","1950","1683","920","763","0.4562","51001"
"G5100030","2016-2020","VA","","","Virginia","51","Albemarle County","003","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51003","Albemarle County, Virginia","","108819","95653","469","1470","5183","6044","101147","7753","3404","301","23","339","174","78","52","515","478","319","312","433","264","116","4349","502","20","323","78","13","78","802","738","611","277","401","181","325","93394","44538","2633","345","3345","1856","505","1111","2611","6086","5924","5755","6044","4988","3335","48856","2468","399","3558","1490","711","1140","3054","5964","5735","6340","7422","6002","4573","101147","7753","846","662","473","4530","801","310","131","93394","5845","6903","6813","48285","17640","5680","2228","107475","51009","2951","35","2916","7990","302","7688","12685","571","12114","18680","1514","17166","5252","805","4447","3451","1427","2024","56466","2970","0","2970","7912","275","7637","13740","614","13126","20763","1248","19515","6183","723","5460","4898","2124","2774","0.4719","51003"
"G5100050","2016-2020","VA","","","Virginia","51","Alleghany County","005","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51005","Alleghany County, Virginia","","15030","14733","0","111","91","95","14744","2315","965","85","46","154","20","44","9","59","113","100","93","125","47","70","1350","98","1","134","11","1","33","88","172","130","129","263","207","83","12429","6272","257","70","457","188","81","110","484","685","598","893","1034","847","568","6157","219","76","261","201","43","204","380","626","597","933","1000","864","753","14744","2315","230","288","118","1074","452","126","27","12429","622","718","827","6251","2690","978","343","14754","7229","342","5","337","1195","240","955","1341","142","1199","2819","490","2329","894","264","630","638","314","324","7525","317","0","317","983","36","947","1266","85","1181","3052","523","2529","1071","288","783","836","442","394","0.4537","51005"
"G5100070","2016-2020","VA","","","Virginia","51","Amelia County","007","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51007","Amelia County, Virginia","","12970","12694","0","97","73","106","12873","1382","695","46","0","145","0","69","35","15","82","68","30","123","82","0","687","75","0","33","0","0","0","140","69","43","61","88","105","73","11491","5822","363","0","486","171","42","185","278","801","633","871","945","573","474","5669","262","0","534","96","76","132","510","446","647","841","987","641","497","12873","1382","121","178","104","681","225","41","32","11491","625","1020","702","6179","1994","755","216","12880","6524","409","0","409","1140","85","1055","1176","93","1083","2670","355","2315","655","168","487","474","272","202","6356","337","0","337","871","171","700","1165","22","1143","2667","379","2288","746","114","632","570","265","305","0.4320","51007"
"G5100090","2016-2020","VA","","","Virginia","51","Amherst County","009","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51009","Amherst County, Virginia","","31782","30977","71","151","361","222","31002","3393","1685","100","30","125","86","15","28","229","105","202","241","209","160","155","1708","197","0","153","28","0","67","243","198","190","89","288","123","132","27609","13478","760","101","868","523","164","325","1028","1709","1500","1808","2136","1593","963","14131","658","182","796","536","106","286","658","1490","1594","2184","2251","1886","1504","31002","3393","327","278","224","1810","467","162","125","27609","1701","1664","1940","14142","5695","1871","596","31593","15170","860","31","829","2277","186","2091","3071","280","2791","6091","993","5098","1753","536","1217","1118","569","549","16423","855","0","855","2221","68","2153","3106","287","2819","6596","771","5825","2009","472","1537","1636","695","941","0.4239","51009"
"G5100110","2016-2020","VA","","","Virginia","51","Appomattox County","011","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51011","Appomattox County, Virginia","","15814","15536","0","34","70","174","15714","2127","781","55","34","50","64","18","12","86","44","70","72","191","47","38","1346","180","0","181","69","0","25","55","223","133","100","166","67","147","13587","6810","380","86","540","125","78","157","590","793","867","889","909","857","539","6777","321","26","486","150","99","190","438","854","681","990","1048","903","591","15714","2127","269","231","188","951","303","118","67","13587","813","1026","799","6941","2878","913","217","15749","7611","435","0","435","1193","55","1138","1504","176","1328","2998","479","2519","904","301","603","577","208","369","8138","501","0","501","1241","27","1214","1570","290","1280","3118","423","2695","970","197","773","738","364","374","0.4202","51011"
"G5100130","2016-2020","VA","","","Virginia","51","Arlington County","013","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51013","Arlington County, Virginia","","236434","175875","1475","5639","27066","26379","233182","14952","6290","372","76","468","144","45","100","988","1545","462","481","777","540","292","8662","589","32","500","210","34","111","1604","2176","846","506","599","930","525","218230","109957","6688","1088","6680","3196","989","1829","7331","26832","19107","14816","10832","6773","3796","108273","6139","1116","6117","2949","827","1886","7747","26121","18500","13899","10924","7193","4855","233182","14952","1069","968","644","9461","1993","368","449","218230","15031","12797","11676","146082","23993","6153","2498","231447","114462","7091","0","7091","14641","596","14045","36230","781","35449","45099","2413","42686","7313","881","6432","4088","1661","2427","116985","6755","43","6712","13962","368","13594","37853","1009","36844","44912","2194","42718","8123","1631","6492","5380","2399","2981","0.4426","51013"
"G5100150","2016-2020","VA","","","Virginia","51","Augusta County","015","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51015","Augusta County, Virginia","","75754","73370","46","595","797","946","71470","6374","2233","345","113","247","133","74","68","198","210","121","162","220","194","148","4141","336","17","311","171","57","170","601","657","267","411","490","431","222","65096","32587","1417","394","1682","1543","332","916","2479","3634","3565","4467","5138","4148","2872","32509","1358","306","2291","899","440","566","1815","3246","3901","4759","5307","4278","3343","71470","6374","811","558","673","2998","964","266","104","65096","3475","3973","4696","33165","13572","4523","1692","71644","34857","1793","0","1793","5568","303","5265","6497","431","6066","13637","1497","12140","4342","992","3350","3020","1578","1442","36787","1768","11","1757","5297","162","5135","6319","393","5926","15129","1715","13414","4709","1367","3342","3565","1171","2394","0.3997","51015"
"G5100170","2016-2020","VA","","","Virginia","51","Bath County","017","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51017","Bath County, Virginia","","4248","4102","0","59","12","75","4174","781","489","16","0","110","0","0","0","28","69","35","29","89","113","0","292","0","0","0","0","0","14","31","11","36","16","40","61","83","3393","1712","25","48","146","3","79","0","36","233","202","260","274","184","222","1681","104","0","34","15","36","0","155","299","187","212","226","286","127","4174","781","16","110","14","344","214","83","0","3393","177","180","133","1728","826","279","70","4160","2201","41","0","41","386","37","349","366","73","293","889","105","784","297","72","225","222","179","43","1959","104","0","104","99","0","99","482","0","482","717","29","688","347","71","276","210","22","188","0.4721","51017"
"G5100190","2016-2020","VA","","","Virginia","51","Bedford County","019","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51019","Bedford County, Virginia","","78965","75931","210","602","1259","963","78347","6358","2705","145","0","233","100","91","67","402","255","137","342","541","179","213","3653","290","67","396","112","97","41","403","413","362","429","520","258","265","71989","35850","1763","829","2171","1126","517","816","2514","3827","3841","5090","5838","4757","2761","36139","1577","327","2170","1228","371","982","2494","3521","3827","5323","5993","4943","3383","78347","6358","502","629","508","3407","834","366","112","71989","4496","4341","5040","36245","15723","4454","1690","78558","38577","1908","32","1876","5996","365","5631","7007","357","6650","15756","2026","13730","4936","1265","3671","2974","1437","1537","39981","1908","25","1883","5934","139","5795","6836","342","6494","16454","2228","14226","5201","1110","4091","3648","1372","2276","0.4211","51019"
